Date,Price,Open,High,Low,Vol.,Change %,T+,range,TR
2019-08-04 00:00:00,10934.6,"10,816.10",11017.7,10568.8,585.71K,1.1,True,448.90000000000146,448.90000000000146
2019-08-05 00:00:00,11816.8,"10,934.80",11922.3,10934.8,769.63K,8.07,True,987.5,987.6999999999989
2019-08-06 00:00:00,11480.9,"11,817.60",12291.9,11237.0,807.58K,-2.84,False,1054.8999999999996,1054.8999999999996
2019-08-07 00:00:00,12013.9,"11,481.00",12114.5,11406.4,702.85K,4.64,True,708.1000000000004,708.1000000000004
2019-08-08 00:00:00,12191.6,"12,015.90",12236.6,11727.0,592.15K,1.48,True,509.60000000000036,509.60000000000036
2019-08-09 00:00:00,12089.8,"12,190.00",12225.3,11885.0,558.72K,-0.84,False,340.2999999999993,340.2999999999993
2019-08-10 00:00:00,11314.5,"12,090.50",12185.0,11281.6,570.74K,-6.41,False,903.3999999999996,903.3999999999996
2019-08-11 00:00:00,11517.2,"11,314.60",11728.4,11146.1,435.83K,1.79,True,582.2999999999993,582.2999999999993
2019-08-12 00:00:00,11394.2,"11,505.10",11508.6,11267.3,391.08K,-1.07,False,241.3000000000011,249.90000000000146
2019-08-13 00:00:00,10892.9,"11,395.00",11445.6,10793.2,540.78K,-4.4,False,652.3999999999996,652.3999999999996
2019-08-14 00:00:00,10049.4,"10,894.20",10894.5,9965.5,745.59K,-7.74,False,929.0,929.0
